ダウンロードした時刻：2023/08/29 04:55:36

,札幌,札幌,札幌,仙台,仙台,仙台,名古屋,名古屋,名古屋,東京,東京,東京,広島,広島,広島,大阪,大阪,大阪,福岡,福岡,福岡
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1989/3/10,1.4,8,1,5.0,8,1,7.0,8,1,8.5,8,1,5.8,8,1,7.4,8,1,7.6,8,1
1989/3/11,2.3,8,1,7.6,8,1,8.2,8,1,9.4,8,1,7.8,8,1,8.6,8,1,8.9,8,1
1989/3/12,2.0,8,1,8.0,8,1,11.0,8,1,11.6,8,1,9.7,8,1,11.0,8,1,12.5,8,1
1989/3/13,2.9,8,1,9.3,8,1,9.4,8,1,12.5,8,1,10.3,8,1,10.1,8,1,12.9,8,1
1989/3/14,5.9,8,1,11.7,8,1,12.9,8,1,14.2,8,1,12.5,8,1,13.0,8,1,12.2,8,1
1989/3/15,3.6,8,1,7.8,8,1,9.7,8,1,12.3,8,1,10.1,8,1,10.6,8,1,10.8,8,1
1989/3/16,1.1,8,1,6.3,8,1,8.5,8,1,9.6,8,1,9.1,8,1,9.4,8,1,11.5,8,1
1989/3/17,0.5,8,1,4.1,8,1,6.3,8,1,7.8,8,1,7.7,8,1,7.4,8,1,9.1,8,1
1989/3/18,0.9,8,1,3.7,8,1,6.2,8,1,7.7,8,1,7.5,8,1,7.3,8,1,8.5,8,1
1989/3/19,3.2,8,1,5.8,8,1,7.2,8,1,8.9,8,1,8.5,8,1,8.7,8,1,10.9,8,1
1989/3/20,3.0,8,1,7.6,8,1,7.9,8,1,9.6,8,1,8.6,8,1,8.1,8,1,9.9,8,1
1989/3/21,4.1,8,1,5.1,8,1,8.5,8,1,9.4,8,1,9.6,8,1,8.5,8,1,9.7,8,1
1989/3/22,3.6,8,1,3.0,8,1,8.1,8,1,7.6,8,1,9.5,8,1,8.5,8,1,10.4,8,1
1989/3/23,2.6,8,1,4.9,8,1,9.6,8,1,9.2,8,1,9.4,8,1,8.9,8,1,10.4,8,1
1989/3/24,2.6,8,1,5.6,8,1,10.0,8,1,8.8,8,1,9.4,8,1,10.4,8,1,12.2,8,1
1989/3/25,1.5,8,1,6.7,8,1,10.4,8,1,11.1,8,1,10.4,8,1,10.7,8,1,11.2,8,1
1989/3/26,3.8,8,1,7.7,8,1,9.9,8,1,10.9,8,1,9.4,8,1,9.5,8,1,10.7,8,1
1989/3/27,5.3,8,1,6.2,8,1,9.6,8,1,10.0,8,1,9.5,8,1,9.4,8,1,11.4,8,1
1989/3/28,5.0,8,1,5.3,8,1,9.8,8,1,7.2,8,1,8.5,8,1,9.4,8,1,8.7,8,1
1989/3/29,2.8,8,1,8.3,8,1,9.6,8,1,10.6,8,1,7.8,8,1,10.4,8,1,10.6,8,1
1989/3/30,6.9,8,1,7.1,8,1,11.0,8,1,11.6,8,1,11.4,8,1,12.1,8,1,13.5,8,1
1989/3/31,6.0,8,1,8.2,8,1,12.7,8,1,12.0,8,1,14.5,8,1,13.0,8,1,14.7,8,1
1989/4/1,6.0,8,1,11.6,8,1,14.1,8,1,15.8,8,1,14.4,8,1,13.7,8,1,16.6,8,1
1989/4/2,6.3,8,1,9.2,8,1,13.4,8,1,13.3,8,1,15.1,8,1,14.3,8,1,16.4,8,1
1989/4/3,7.9,8,1,12.2,8,1,14.0,8,1,13.3,8,1,16.1,8,1,16.3,8,1,16.7,8,1
1989/4/4,2.5,8,1,8.7,8,1,14.2,8,1,14.5,8,1,14.1,8,1,12.8,8,1,14.4,8,1
1989/4/5,3.9,8,1,6.8,8,1,14.3,8,1,10.4,8,1,13.8,8,1,13.3,8,1,13.7,8,1
1989/4/6,5.0,8,1,9.3,8,1,14.5,8,1,13.5,8,1,14.9,8,1,15.2,8,1,15.0,8,1
1989/4/7,7.7,8,1,9.5,8,1,15.9,8,1,15.2,8,1,15.6,8,1,17.1,8,1,17.8,8,1
1989/4/8,10.8,8,1,10.0,8,1,13.4,8,1,13.6,8,1,14.3,8,1,14.0,8,1,16.5,8,1
1989/4/9,8.8,8,1,14.4,8,1,15.9,8,1,17.8,8,1,14.8,8,1,14.9,8,1,15.7,8,1
1989/4/10,9.0,8,1,9.5,8,1,14.7,8,1,15.9,8,1,15.2,8,1,14.4,8,1,15.1,8,1
1989/4/11,10.5,8,1,7.9,8,1,13.0,8,1,14.1,8,1,12.3,8,1,12.9,8,1,12.8,8,1
1989/4/12,8.5,8,1,6.0,8,1,11.1,8,1,11.5,8,1,11.6,8,1,11.3,8,1,13.0,8,1
1989/4/13,10.2,8,1,11.8,8,1,15.2,8,1,16.9,8,1,15.0,8,1,14.8,8,1,15.1,8,1
1989/4/14,11.8,8,1,13.2,8,1,16.4,8,1,17.8,8,1,14.3,8,1,16.6,8,1,15.2,8,1
1989/4/15,11.2,8,1,14.7,8,1,14.8,8,1,17.6,8,1,15.3,8,1,16.2,8,1,16.2,8,1
1989/4/16,9.7,8,1,13.7,8,1,18.1,8,1,18.9,8,1,14.8,8,1,16.9,8,1,15.0,8,1
1989/4/17,5.9,8,1,12.9,8,1,14.1,8,1,18.2,8,1,14.4,8,1,15.8,8,1,16.0,8,1
1989/4/18,5.8,8,1,13.0,8,1,16.4,8,1,17.9,8,1,16.8,8,1,18.1,8,1,18.5,8,1
1989/4/19,5.8,8,1,15.1,8,1,18.6,8,1,18.7,8,1,18.4,8,1,20.1,8,1,18.4,8,1
1989/4/20,6.7,8,1,16.3,8,1,18.7,8,1,19.0,8,1,19.5,8,1,19.8,8,1,21.2,8,1
1989/4/21,6.5,8,1,11.1,8,1,17.3,8,1,15.8,8,1,20.0,8,1,19.9,8,1,22.4,8,1
1989/4/22,7.4,8,1,12.3,8,1,17.0,8,1,16.9,8,1,17.0,8,1,17.1,8,1,19.3,8,1
1989/4/23,8.8,8,1,14.8,8,1,14.2,8,1,16.1,8,1,17.6,8,1,15.4,8,1,18.1,8,1
1989/4/24,9.2,8,1,10.4,8,1,14.5,8,1,15.9,8,1,14.9,8,1,14.6,8,1,14.4,8,1
1989/4/25,3.8,8,1,9.4,8,1,13.8,8,1,14.4,8,1,15.1,8,1,13.8,8,1,14.2,8,1
1989/4/26,4.2,8,1,9.6,8,1,14.7,8,1,14.8,8,1,16.2,8,1,15.6,8,1,16.6,8,1
1989/4/27,4.1,8,1,11.8,8,1,16.0,8,1,17.0,8,1,17.6,8,1,18.1,8,1,18.6,8,1
1989/4/28,4.2,8,1,8.1,8,1,11.8,8,1,12.5,8,1,14.4,8,1,12.2,8,1,14.0,8,1
1989/4/29,8.3,8,1,11.5,8,1,12.6,8,1,13.4,8,1,13.5,8,1,13.8,8,1,15.6,8,1
1989/4/30,9.6,8,1,13.5,8,1,14.9,8,1,16.3,8,1,13.0,8,1,16.4,8,1,14.8,8,1
1989/5/1,7.2,8,1,14.1,8,1,14.2,8,1,15.6,8,1,15.1,8,1,14.5,8,1,15.8,8,1
1989/5/2,7.6,8,1,10.9,8,1,17.9,8,1,16.2,8,1,17.8,8,1,18.3,8,1,17.1,8,1
1989/5/3,6.6,8,1,7.8,8,1,17.9,8,1,15.1,8,1,17.6,8,1,19.0,8,1,18.5,8,1
1989/5/4,9.2,8,1,10.6,8,1,18.7,8,1,16.5,8,1,19.0,8,1,20.2,8,1,19.3,8,1
1989/5/5,12.5,8,1,16.1,8,1,20.1,8,1,20.3,8,1,20.3,8,1,20.7,8,1,18.3,8,1
1989/5/6,10.4,8,1,13.7,8,1,16.7,8,1,16.8,8,1,17.6,8,1,17.3,8,1,16.8,8,1
1989/5/7,11.3,8,1,10.7,8,1,15.3,8,1,11.3,8,1,17.5,8,1,16.6,8,1,17.4,8,1
1989/5/8,12.0,8,1,13.3,8,1,16.9,8,1,16.1,8,1,17.9,8,1,18.6,8,1,18.7,8,1
1989/5/9,11.1,8,1,14.4,8,1,18.9,8,1,19.2,8,1,20.1,8,1,20.0,8,1,20.1,8,1
1989/5/10,9.9,8,1,17.3,8,1,20.8,8,1,20.9,8,1,19.6,8,1,21.3,8,1,19.6,8,1
1989/5/11,9.7,8,1,11.2,8,1,16.2,8,1,14.1,8,1,16.8,8,1,17.0,8,1,18.9,8,1
1989/5/12,9.4,8,1,9.4,8,1,16.3,8,1,12.4,8,1,17.9,8,1,17.4,8,1,16.8,8,1
1989/5/13,6.5,8,1,11.6,8,1,17.9,8,1,17.1,8,1,17.2,8,1,18.1,8,1,16.1,8,1
1989/5/14,9.5,8,1,15.3,8,1,17.0,8,1,19.3,8,1,17.8,8,1,18.3,8,1,16.4,8,1
1989/5/15,9.4,8,1,15.0,8,1,15.6,8,1,18.5,8,1,15.9,8,1,16.9,8,1,17.2,8,1
1990/3/10,3.5,8,1,8.4,8,1,10.7,8,1,11.4,8,1,9.6,8,1,10.1,8,1,11.6,8,1
1990/3/11,5.6,8,1,8.8,8,1,12.1,8,1,13.2,8,1,11.1,8,1,12.7,8,1,13.3,8,1
1990/3/12,3.8,8,1,7.9,8,1,11.0,8,1,13.1,8,1,10.1,8,1,10.9,8,1,9.4,8,1
1990/3/13,-1.3,8,1,2.6,8,1,6.1,8,1,7.7,8,1,7.4,8,1,8.1,8,1,9.5,8,1
1990/3/14,2.7,8,1,5.9,8,1,8.5,8,1,10.1,8,1,9.2,8,1,9.5,8,1,12.4,8,1
1990/3/15,3.0,8,1,7.4,8,1,10.2,8,1,12.7,8,1,12.6,8,1,12.1,8,1,13.0,8,1
1990/3/16,3.4,8,1,6.8,8,1,9.7,8,1,11.9,8,1,11.0,8,1,10.8,8,1,10.4,8,1
1990/3/17,2.7,8,1,5.8,8,1,8.7,8,1,10.8,8,1,9.9,8,1,10.1,8,1,10.8,8,1
1990/3/18,3.0,8,1,5.7,8,1,7.6,8,1,8.6,8,1,8.9,8,1,9.4,8,1,9.8,8,1
1990/3/19,5.1,8,1,7.6,8,1,10.1,8,1,11.4,8,1,8.5,8,1,10.1,8,1,10.1,8,1
1990/3/20,4.5,8,1,9.5,8,1,11.0,8,1,13.2,8,1,11.7,8,1,12.6,8,1,12.5,8,1
1990/3/21,3.1,8,1,5.5,8,1,10.6,8,1,11.1,8,1,12.3,8,1,10.9,8,1,13.4,8,1
1990/3/22,3.8,8,1,5.9,8,1,11.7,8,1,11.9,8,1,12.8,8,1,12.0,8,1,14.7,8,1
1990/3/23,6.2,8,1,6.8,8,1,14.4,8,1,13.6,8,1,16.2,8,1,15.9,8,1,17.8,8,1
1990/3/24,2.0,8,1,7.1,8,1,12.4,8,1,16.3,8,1,14.1,8,1,14.9,8,1,14.2,8,1
1990/3/25,-1.2,8,1,4.3,8,1,9.5,8,1,9.9,8,1,9.4,8,1,8.4,8,1,10.4,8,1
1990/3/26,-0.1,8,1,3.0,8,1,8.7,8,1,8.0,8,1,9.5,8,1,8.9,8,1,10.2,8,1
1990/3/27,3.3,8,1,5.5,8,1,10.5,8,1,10.3,8,1,11.3,8,1,10.9,8,1,13.1,8,1
1990/3/28,4.4,8,1,9.3,8,1,10.1,8,1,13.3,8,1,10.6,8,1,10.7,8,1,14.4,8,1
1990/3/29,4.7,8,1,7.3,8,1,10.5,8,1,9.5,8,1,13.5,8,1,11.7,8,1,13.8,8,1
1990/3/30,6.1,8,1,6.9,8,1,11.0,8,1,11.6,8,1,14.1,8,1,13.7,8,1,13.6,8,1
1990/3/31,7.4,8,1,9.2,8,1,11.9,8,1,10.5,8,1,14.4,8,1,14.0,8,1,14.1,8,1
1990/4/1,9.6,8,1,13.1,8,1,15.6,8,1,16.9,8,1,14.8,8,1,16.0,8,1,13.7,8,1
1990/4/2,7.0,8,1,12.6,8,1,16.9,8,1,14.8,8,1,16.2,8,1,16.5,8,1,14.4,8,1
1990/4/3,8.3,8,1,11.2,8,1,16.4,8,1,17.1,8,1,15.1,8,1,17.2,8,1,16.1,8,1
1990/4/4,4.2,8,1,12.9,8,1,13.9,8,1,16.2,8,1,13.5,8,1,13.2,8,1,11.9,8,1
1990/4/5,2.2,8,1,5.4,8,1,8.2,8,1,10.6,8,1,9.0,8,1,9.0,8,1,10.5,8,1
1990/4/6,4.2,8,1,6.7,8,1,10.1,8,1,11.6,8,1,12.0,8,1,12.4,8,1,13.5,8,1
1990/4/7,9.0,8,1,10.8,8,1,9.5,8,1,13.5,8,1,11.2,8,1,11.2,8,1,14.1,8,1
1990/4/8,7.7,8,1,10.7,8,1,12.8,8,1,16.2,8,1,14.8,8,1,13.1,8,1,13.7,8,1
1990/4/9,7.8,8,1,13.6,8,1,13.7,8,1,14.7,8,1,14.1,8,1,14.9,8,1,15.5,8,1
1990/4/10,7.8,8,1,15.0,8,1,16.0,8,1,17.3,8,1,14.8,8,1,16.5,8,1,15.2,8,1
1990/4/11,13.2,8,1,11.4,8,1,16.8,8,1,16.2,8,1,16.4,8,1,17.7,8,1,18.2,8,1
1990/4/12,13.7,8,1,12.8,8,1,17.2,8,1,16.6,8,1,15.9,8,1,18.5,8,1,18.3,8,1
1990/4/13,9.2,8,1,11.5,8,1,15.7,8,1,16.9,8,1,16.3,8,1,17.1,8,1,14.1,8,1
1990/4/14,6.1,8,1,8.8,8,1,16.1,8,1,14.6,8,1,13.5,8,1,15.8,8,1,13.4,8,1
1990/4/15,4.8,8,1,7.2,8,1,13.4,8,1,12.5,8,1,13.0,8,1,13.9,8,1,14.6,8,1
1990/4/16,4.1,8,1,5.1,8,1,13.0,8,1,9.5,8,1,11.9,8,1,13.6,8,1,13.5,8,1
1990/4/17,3.8,8,1,5.0,8,1,12.5,8,1,10.1,8,1,12.0,8,1,12.2,8,1,12.2,8,1
1990/4/18,4.4,8,1,5.0,8,1,11.1,8,1,9.9,8,1,11.7,8,1,10.7,8,1,12.2,8,1
1990/4/19,6.2,8,1,7.8,8,1,12.2,8,1,11.4,8,1,12.0,8,1,11.6,8,1,13.5,8,1
1990/4/20,8.4,8,1,8.7,8,1,12.9,8,1,12.7,8,1,11.7,8,1,13.1,8,1,13.2,8,1
1990/4/21,8.2,8,1,9.6,8,1,14.7,8,1,13.4,8,1,15.2,8,1,15.0,8,1,16.7,8,1
1990/4/22,9.8,8,1,11.5,8,1,16.1,8,1,15.4,8,1,15.7,8,1,17.1,8,1,15.4,8,1
1990/4/23,9.0,8,1,14.4,8,1,16.2,8,1,18.8,8,1,15.1,8,1,15.0,8,1,15.0,8,1
1990/4/24,7.9,8,1,10.7,8,1,12.1,8,1,15.6,8,1,13.5,8,1,13.4,8,1,12.7,8,1
1990/4/25,12.1,8,1,10.9,8,1,13.5,8,1,14.4,8,1,12.8,8,1,13.9,8,1,13.5,8,1
1990/4/26,11.0,8,1,11.7,8,1,16.9,8,1,16.5,8,1,17.6,8,1,17.4,8,1,16.6,8,1
1990/4/27,10.2,8,1,12.1,8,1,18.8,8,1,17.5,8,1,18.7,8,1,19.5,8,1,17.3,8,1
1990/4/28,10.5,8,1,12.8,8,1,18.9,8,1,18.4,8,1,20.1,8,1,19.7,8,1,19.7,8,1
1990/4/29,9.9,8,1,12.0,8,1,15.7,8,1,16.8,8,1,18.2,8,1,16.1,8,1,18.2,8,1
1990/4/30,6.8,8,1,11.9,8,1,14.7,8,1,15.1,8,1,16.4,8,1,14.7,8,1,18.4,8,1
1990/5/1,7.8,8,1,12.3,8,1,15.1,8,1,15.3,8,1,17.1,8,1,14.2,8,1,18.1,8,1
1990/5/2,7.0,8,1,9.4,8,1,15.2,8,1,12.3,8,1,14.2,8,1,15.6,8,1,14.2,8,1
1990/5/3,8.1,8,1,11.3,8,1,16.2,8,1,14.4,8,1,14.6,8,1,16.6,8,1,18.3,8,1
1990/5/4,7.7,8,1,12.4,8,1,16.1,8,1,16.5,8,1,16.5,8,1,17.4,8,1,17.1,8,1
1990/5/5,9.3,8,1,13.9,8,1,16.2,8,1,18.4,8,1,16.8,8,1,16.4,8,1,16.3,8,1
1990/5/6,14.3,8,1,14.0,8,1,16.6,8,1,17.7,8,1,16.6,8,1,18.1,8,1,17.0,8,1
1990/5/7,16.0,8,1,13.5,8,1,15.1,8,1,17.8,8,1,17.7,8,1,16.4,8,1,16.8,8,1
1990/5/8,13.4,8,1,15.9,8,1,18.9,8,1,19.3,8,1,18.5,8,1,17.6,8,1,17.5,8,1
1990/5/9,12.8,8,1,19.1,8,1,20.7,8,1,20.8,8,1,18.6,8,1,20.1,8,1,20.4,8,1
1990/5/10,15.2,8,1,18.4,8,1,21.2,8,1,21.3,8,1,20.1,8,1,21.2,8,1,21.8,8,1
1990/5/11,15.6,8,1,18.1,8,1,20.3,8,1,21.2,8,1,21.4,8,1,21.0,8,1,21.0,8,1
1990/5/12,15.0,8,1,21.2,8,1,20.8,8,1,20.9,8,1,20.9,8,1,21.3,8,1,20.9,8,1
1990/5/13,14.3,8,1,18.3,8,1,20.2,8,1,21.1,8,1,21.4,8,1,21.0,8,1,21.8,8,1
1990/5/14,11.7,8,1,17.6,8,1,19.5,8,1,20.0,8,1,19.8,8,1,19.7,8,1,19.4,8,1
1990/5/15,7.6,8,1,14.9,8,1,18.3,8,1,19.3,8,1,20.2,8,1,18.2,8,1,20.4,8,1
1991/3/10,-1.8,8,1,4.1,8,1,9.7,8,1,10.9,8,1,11.2,8,1,9.9,8,1,11.0,8,1
1991/3/11,0.0,8,1,2.1,8,1,8.1,8,1,5.1,8,1,9.7,8,1,8.2,8,1,10.6,8,1
1991/3/12,-0.9,8,1,5.1,8,1,9.6,8,1,8.0,8,1,10.6,8,1,9.9,8,1,10.6,8,1
1991/3/13,-4.2,8,1,3.9,8,1,10.3,8,1,8.9,8,1,10.9,8,1,10.3,8,1,10.5,8,1
1991/3/14,-4.2,8,1,0.2,8,1,7.2,8,1,5.6,8,1,8.0,8,1,6.5,8,1,8.4,8,1
1991/3/15,-4.6,8,1,0.3,8,1,5.0,8,1,6.1,8,1,6.2,8,1,4.4,8,1,7.6,8,1
1991/3/16,-0.5,8,1,1.0,8,1,4.1,8,1,5.4,8,1,5.2,8,1,4.1,8,1,7.4,8,1
1991/3/17,0.6,8,1,3.7,8,1,6.5,8,1,8.1,8,1,8.4,8,1,8.2,8,1,8.8,8,1
1991/3/18,1.4,8,1,5.1,8,1,8.1,8,1,9.0,8,1,8.4,8,1,9.3,8,1,8.4,8,1
1991/3/19,4.4,8,1,6.5,8,1,10.8,8,1,12.1,8,1,11.4,8,1,13.2,8,1,12.1,8,1
1991/3/20,2.9,8,1,10.2,8,1,12.9,8,1,16.9,8,1,14.3,8,1,15.8,8,1,17.2,8,1
1991/3/21,-2.2,8,1,3.5,8,1,11.0,8,1,11.1,8,1,11.3,8,1,9.3,8,1,10.3,8,1
1991/3/22,1.4,8,1,3.4,8,1,8.8,8,1,7.1,8,1,8.8,8,1,10.5,8,1,11.1,8,1
1991/3/23,4.6,8,1,8.4,8,1,11.8,8,1,11.3,8,1,13.9,8,1,13.1,8,1,11.5,8,1
1991/3/24,4.4,8,1,11.9,8,1,13.5,8,1,14.8,8,1,13.4,8,1,12.8,8,1,11.9,8,1
1991/3/25,3.4,8,1,6.8,8,1,14.2,8,1,11.7,8,1,11.8,8,1,12.2,8,1,11.5,8,1
1991/3/26,1.4,8,1,9.8,8,1,15.4,8,1,14.0,8,1,14.1,8,1,14.3,8,1,13.1,8,1
1991/3/27,-0.4,8,1,3.8,8,1,14.1,8,1,8.9,8,1,14.3,8,1,16.2,8,1,12.8,8,1
1991/3/28,0.5,8,1,5.7,8,1,12.0,8,1,8.9,8,1,11.6,8,1,11.2,8,1,11.1,8,1
1991/3/29,2.3,8,1,7.4,8,1,10.7,8,1,10.1,8,1,11.8,8,1,12.1,8,1,11.4,8,1
1991/3/30,3.5,8,1,9.3,8,1,12.2,8,1,12.6,8,1,10.1,8,1,13.2,8,1,11.2,8,1
