ダウンロードした時刻：2023/08/29 04:53:38

,札幌,札幌,札幌,仙台,仙台,仙台,名古屋,名古屋,名古屋,東京,東京,東京,広島,広島,広島,大阪,大阪,大阪,福岡,福岡,福岡
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1953/3/10,-0.9,8,1,6.0,8,1,9.0,8,1,10.0,8,1,10.5,8,1,10.8,8,1,12.7,8,1
1953/3/11,-2.1,8,1,4.6,8,1,11.6,8,1,11.0,8,1,11.7,8,1,13.6,8,1,13.1,8,1
1953/3/12,-2.5,8,1,6.8,8,1,8.8,8,1,11.2,8,1,8.2,8,1,9.1,8,1,9.3,8,1
1953/3/13,-3.1,8,1,4.0,8,1,7.4,8,1,8.1,8,1,6.7,8,1,7.9,8,1,6.9,8,1
1953/3/14,-2.1,8,1,4.2,8,1,7.9,8,1,8.2,8,1,7.1,8,1,8.3,8,1,6.1,8,1
1953/3/15,-2.0,8,1,4.4,8,1,7.5,8,1,8.5,8,1,7.6,8,1,8.9,8,1,6.7,8,1
1953/3/16,-3.0,8,1,3.9,8,1,6.0,8,1,5.0,8,1,6.0,8,1,6.6,8,1,6.1,8,1
1953/3/17,-3.5,8,1,2.5,8,1,6.7,8,1,3.0,8,1,6.7,8,1,7.8,8,1,7.9,8,1
1953/3/18,-2.9,8,1,2.5,8,1,8.9,8,1,7.5,8,1,8.2,8,1,9.3,8,1,8.8,8,1
1953/3/19,0.4,8,1,4.6,8,1,10.8,8,1,10.6,8,1,10.6,8,1,12.0,8,1,14.0,8,1
1953/3/20,3.8,8,1,5.7,8,1,13.1,8,1,15.1,8,1,13.9,8,1,14.4,8,1,16.2,8,1
1953/3/21,1.0,8,1,7.5,8,1,9.5,8,1,12.7,8,1,9.3,8,1,10.0,8,1,12.2,8,1
1953/3/22,2.8,8,1,5.6,8,1,8.8,8,1,9.4,8,1,8.0,8,1,10.2,8,1,10.0,8,1
1953/3/23,5.3,8,1,7.7,8,1,8.9,8,1,10.1,8,1,10.0,8,1,11.1,8,1,11.3,8,1
1953/3/24,3.3,8,1,8.2,8,1,10.7,8,1,11.2,8,1,10.9,8,1,12.1,8,1,11.0,8,1
1953/3/25,5.5,8,1,8.7,8,1,10.4,8,1,10.5,8,1,10.8,8,1,12.9,8,1,10.8,8,1
1953/3/26,1.3,8,1,7.8,8,1,6.9,8,1,10.9,8,1,7.3,8,1,8.3,8,1,8.4,8,1
1953/3/27,1.6,8,1,6.8,8,1,7.5,8,1,10.7,8,1,7.3,8,1,7.9,8,1,6.8,8,1
1953/3/28,3.0,8,1,7.2,8,1,6.9,8,1,9.0,8,1,4.4,8,1,5.9,8,1,3.6,8,1
1953/3/29,2.5,8,1,3.1,8,1,6.1,8,1,6.1,8,1,6.5,8,1,6.5,8,1,8.3,8,1
1953/3/30,2.1,8,1,6.1,8,1,6.3,8,1,9.1,8,1,4.7,8,1,7.4,8,1,6.4,8,1
1953/3/31,-0.7,8,1,5.7,8,1,6.7,8,1,9.8,8,1,7.8,8,1,6.5,8,1,7.4,8,1
1953/4/1,-0.5,8,1,6.0,8,1,7.7,8,1,9.6,8,1,8.1,8,1,8.0,8,1,8.0,8,1
1953/4/2,3.0,8,1,5.1,8,1,10.9,8,1,9.4,8,1,9.1,8,1,11.3,8,1,10.6,8,1
1953/4/3,5.7,8,1,7.7,8,1,10.6,8,1,10.7,8,1,10.2,8,1,11.6,8,1,12.3,8,1
1953/4/4,4.7,8,1,9.6,8,1,8.4,8,1,11.3,8,1,10.6,8,1,10.1,8,1,11.6,8,1
1953/4/5,4.9,8,1,9.2,8,1,8.9,8,1,11.3,8,1,9.0,8,1,10.3,8,1,12.1,8,1
1953/4/6,7.2,8,1,8.7,8,1,7.3,8,1,11.1,8,1,10.9,8,1,10.0,8,1,11.9,8,1
1953/4/7,7.1,8,1,9.0,8,1,8.8,8,1,11.8,8,1,10.3,8,1,10.1,8,1,10.4,8,1
1953/4/8,6.3,8,1,8.0,8,1,11.1,8,1,12.5,8,1,10.4,8,1,11.7,8,1,10.0,8,1
1953/4/9,7.9,8,1,8.6,8,1,13.0,8,1,14.1,8,1,12.8,8,1,14.3,8,1,12.6,8,1
1953/4/10,7.7,8,1,12.4,8,1,14.0,8,1,13.6,8,1,12.2,8,1,13.8,8,1,12.7,8,1
1953/4/11,5.5,8,1,9.9,8,1,14.2,8,1,14.0,8,1,14.1,8,1,14.8,8,1,14.6,8,1
1953/4/12,4.1,8,1,7.8,8,1,9.8,8,1,10.6,8,1,10.6,8,1,9.7,8,1,10.1,8,1
1953/4/13,1.4,8,1,5.0,8,1,7.4,8,1,9.7,8,1,8.6,8,1,8.3,8,1,9.9,8,1
1953/4/14,2.4,8,1,5.2,8,1,9.4,8,1,11.3,8,1,10.4,8,1,10.5,8,1,13.2,8,1
1953/4/15,5.2,8,1,8.6,8,1,8.9,8,1,12.1,8,1,9.6,8,1,10.6,8,1,11.0,8,1
1953/4/16,3.7,8,1,7.5,8,1,11.0,8,1,10.1,8,1,12.4,8,1,12.1,8,1,12.7,8,1
1953/4/17,3.4,8,1,6.3,8,1,8.1,8,1,10.4,8,1,8.6,8,1,8.7,8,1,10.0,8,1
1953/4/18,2.8,8,1,8.1,8,1,9.8,8,1,11.6,8,1,9.6,8,1,9.8,8,1,10.6,8,1
1953/4/19,2.7,8,1,7.7,8,1,11.6,8,1,12.0,8,1,10.8,8,1,11.9,8,1,11.2,8,1
1953/4/20,5.9,8,1,7.5,8,1,12.8,8,1,13.1,8,1,12.0,8,1,13.8,8,1,10.9,8,1
1953/4/21,6.8,8,1,9.8,8,1,13.0,8,1,14.1,8,1,12.1,8,1,14.3,8,1,12.9,8,1
1953/4/22,5.5,8,1,7.1,8,1,10.6,8,1,12.6,8,1,10.3,8,1,11.7,8,1,10.6,8,1
1953/4/23,7.7,8,1,7.6,8,1,10.8,8,1,8.5,8,1,11.9,8,1,11.4,8,1,11.5,8,1
1953/4/24,4.0,8,1,7.2,8,1,10.5,8,1,11.3,8,1,12.4,8,1,13.2,8,1,14.9,8,1
1953/4/25,8.5,8,1,8.7,8,1,11.4,8,1,12.4,8,1,12.3,8,1,13.0,8,1,14.1,8,1
1953/4/26,8.3,8,1,14.4,8,1,14.8,8,1,16.2,8,1,14.0,8,1,15.7,8,1,15.8,8,1
1953/4/27,7.2,8,1,14.5,8,1,16.9,8,1,17.4,8,1,16.5,8,1,18.2,8,1,19.1,8,1
1953/4/28,12.7,8,1,14.7,8,1,17.8,8,1,18.2,8,1,17.7,8,1,18.7,8,1,19.9,8,1
1953/4/29,8.0,8,1,16.9,8,1,19.3,8,1,21.0,8,1,17.8,8,1,19.7,8,1,21.7,8,1
1953/4/30,5.2,8,1,10.0,8,1,15.9,8,1,18.0,8,1,15.0,8,1,16.1,8,1,14.3,8,1
1953/5/1,3.5,8,1,9.0,8,1,12.8,8,1,12.9,8,1,12.6,8,1,13.3,8,1,13.1,8,1
1953/5/2,4.7,8,1,5.8,8,1,13.4,8,1,10.7,8,1,12.9,8,1,14.4,8,1,13.0,8,1
1953/5/3,10.1,8,1,8.1,8,1,13.2,8,1,12.2,8,1,13.3,8,1,14.1,8,1,14.1,8,1
1953/5/4,12.7,8,1,11.3,8,1,14.2,8,1,14.8,8,1,14.9,8,1,15.9,8,1,16.3,8,1
1953/5/5,13.2,8,1,14.0,8,1,16.1,8,1,16.1,8,1,14.4,8,1,16.5,8,1,15.3,8,1
1953/5/6,15.3,8,1,14.0,8,1,16.3,8,1,16.4,8,1,16.3,8,1,18.1,8,1,16.7,8,1
1953/5/7,11.6,8,1,13.3,8,1,13.9,8,1,14.2,8,1,15.8,8,1,16.0,8,1,16.6,8,1
1953/5/8,13.5,8,1,13.8,8,1,16.3,8,1,15.8,8,1,16.4,8,1,18.3,8,1,15.8,8,1
1953/5/9,12.3,8,1,13.6,8,1,16.0,8,1,19.1,8,1,17.7,8,1,17.4,8,1,17.8,8,1
1953/5/10,10.4,8,1,13.2,8,1,18.7,8,1,18.6,8,1,17.6,8,1,19.1,8,1,18.7,8,1
1953/5/11,11.4,8,1,13.0,8,1,19.4,8,1,19.2,8,1,18.9,8,1,20.9,8,1,21.4,8,1
1953/5/12,12.0,8,1,15.6,8,1,17.3,8,1,19.1,8,1,17.6,8,1,18.0,8,1,20.0,8,1
1953/5/13,16.3,8,1,16.6,8,1,18.7,8,1,19.5,8,1,17.9,8,1,20.0,8,1,18.8,8,1
1953/5/14,13.5,8,1,16.3,8,1,15.9,8,1,19.1,8,1,17.3,8,1,16.5,8,1,18.0,8,1
1953/5/15,9.8,8,1,14.8,8,1,16.4,8,1,18.3,8,1,16.4,8,1,16.4,8,1,19.5,8,1
1954/3/10,-3.2,8,1,2.2,8,1,6.4,8,1,6.2,8,1,7.0,8,1,6.2,8,1,7.3,8,1
1954/3/11,-1.9,8,1,0.1,8,1,5.8,8,1,3.9,8,1,6.4,8,1,6.8,8,1,8.5,8,1
1954/3/12,-2.6,8,1,5.0,8,1,7.5,8,1,8.4,8,1,7.2,8,1,8.2,8,1,8.3,8,1
1954/3/13,-6.0,8,1,0.4,8,1,2.5,8,1,4.5,8,1,4.6,8,1,3.7,8,1,5.2,8,1
1954/3/14,-3.6,8,1,1.0,8,1,3.6,8,1,4.5,8,1,4.6,8,1,3.7,8,1,4.5,8,1
1954/3/15,-4.1,8,1,3.3,8,1,4.4,8,1,6.3,8,1,4.5,8,1,4.9,8,1,5.4,8,1
1954/3/16,-2.6,8,1,2.3,8,1,4.7,8,1,6.9,8,1,5.4,8,1,5.9,8,1,5.2,8,1
1954/3/17,-2.2,8,1,3.1,8,1,6.8,8,1,8.0,8,1,6.3,8,1,8.0,8,1,6.3,8,1
1954/3/18,1.4,8,1,3.6,8,1,8.3,8,1,9.1,8,1,9.2,8,1,9.1,8,1,8.6,8,1
1954/3/19,4.0,8,1,7.1,8,1,11.6,8,1,12.2,8,1,12.1,8,1,12.2,8,1,13.3,8,1
1954/3/20,1.3,8,1,8.1,8,1,9.9,8,1,14.2,8,1,9.1,8,1,10.2,8,1,8.1,8,1
1954/3/21,-1.4,8,1,4.5,8,1,6.5,8,1,9.5,8,1,6.5,8,1,8.0,8,1,6.1,8,1
1954/3/22,1.8,8,1,5.9,8,1,7.2,8,1,9.8,8,1,6.4,8,1,6.9,8,1,7.0,8,1
1954/3/23,3.8,8,1,5.9,8,1,8.4,8,1,10.5,8,1,7.8,8,1,8.1,8,1,8.0,8,1
1954/3/24,1.2,8,1,6.4,8,1,8.8,8,1,10.7,8,1,8.9,8,1,9.5,8,1,9.7,8,1
1954/3/25,0.9,8,1,7.3,8,1,9.2,8,1,9.9,8,1,9.5,8,1,9.5,8,1,10.2,8,1
1954/3/26,1.4,8,1,6.6,8,1,12.7,8,1,11.7,8,1,13.2,8,1,13.1,8,1,15.7,8,1
1954/3/27,4.0,8,1,14.1,8,1,14.9,8,1,15.3,8,1,16.8,8,1,15.7,8,1,19.5,8,1
1954/3/28,2.5,8,1,6.8,8,1,14.1,8,1,16.9,8,1,13.2,8,1,15.3,8,1,13.6,8,1
1954/3/29,1.4,8,1,2.9,8,1,7.7,8,1,7.6,8,1,8.9,8,1,9.3,8,1,9.7,8,1
1954/3/30,2.1,8,1,6.3,8,1,8.7,8,1,9.4,8,1,8.4,8,1,9.1,8,1,10.5,8,1
1954/3/31,5.0,8,1,9.3,8,1,11.9,8,1,12.4,8,1,11.7,8,1,11.4,8,1,13.0,8,1
1954/4/1,3.9,8,1,13.2,8,1,13.5,8,1,13.8,8,1,12.5,8,1,13.6,8,1,13.5,8,1
1954/4/2,0.2,8,1,11.9,8,1,14.6,8,1,15.6,8,1,14.2,8,1,15.8,8,1,15.6,8,1
1954/4/3,2.6,8,1,10.0,8,1,14.1,8,1,15.1,8,1,14.9,8,1,13.9,8,1,13.8,8,1
1954/4/4,2.3,8,1,7.9,8,1,13.4,8,1,12.6,8,1,13.5,8,1,14.3,8,1,14.7,8,1
1954/4/5,5.1,8,1,9.0,8,1,16.0,8,1,14.4,8,1,13.6,8,1,18.0,8,1,14.9,8,1
1954/4/6,10.9,8,1,11.7,8,1,14.5,8,1,14.4,8,1,16.8,8,1,17.5,8,1,15.8,8,1
1954/4/7,5.9,8,1,15.4,8,1,15.8,8,1,18.3,8,1,16.2,8,1,15.6,8,1,16.0,8,1
1954/4/8,4.5,8,1,13.6,8,1,14.1,8,1,16.7,8,1,14.2,8,1,14.8,8,1,14.6,8,1
1954/4/9,3.8,8,1,7.9,8,1,12.1,8,1,13.9,8,1,11.3,8,1,12.4,8,1,12.0,8,1
1954/4/10,4.6,8,1,8.3,8,1,12.8,8,1,14.1,8,1,12.6,8,1,12.5,8,1,12.2,8,1
1954/4/11,4.2,8,1,11.5,8,1,16.1,8,1,16.2,8,1,14.8,8,1,17.7,8,1,15.9,8,1
1954/4/12,4.9,8,1,12.0,8,1,17.9,8,1,17.7,8,1,15.7,8,1,18.8,8,1,14.9,8,1
1954/4/13,7.0,8,1,10.4,8,1,14.4,8,1,13.7,8,1,12.7,8,1,14.0,8,1,12.2,8,1
1954/4/14,6.7,8,1,7.4,8,1,13.0,8,1,11.7,8,1,13.9,8,1,12.7,8,1,13.0,8,1
1954/4/15,4.4,8,1,9.8,8,1,13.1,8,1,13.5,8,1,12.2,8,1,13.3,8,1,12.6,8,1
1954/4/16,6.1,8,1,9.4,8,1,15.2,8,1,14.1,8,1,15.1,8,1,16.3,8,1,16.9,8,1
1954/4/17,9.0,8,1,13.2,8,1,17.5,8,1,17.2,8,1,14.7,8,1,17.5,8,1,19.2,8,1
1954/4/18,9.7,8,1,15.9,8,1,16.9,8,1,19.7,8,1,16.7,8,1,17.9,8,1,16.5,8,1
1954/4/19,8.5,8,1,13.8,8,1,14.7,8,1,19.1,8,1,14.3,8,1,15.2,8,1,13.3,8,1
1954/4/20,7.6,8,1,8.9,8,1,10.8,8,1,12.9,8,1,11.9,8,1,12.5,8,1,11.4,8,1
1954/4/21,9.3,8,1,8.0,8,1,11.4,8,1,12.5,8,1,10.5,8,1,11.8,8,1,10.9,8,1
1954/4/22,11.4,8,1,9.1,8,1,12.5,8,1,13.7,8,1,12.1,8,1,13.7,8,1,12.5,8,1
1954/4/23,13.4,8,1,11.4,8,1,14.2,8,1,14.9,8,1,15.1,8,1,16.2,8,1,16.0,8,1
1954/4/24,12.9,8,1,12.9,8,1,15.4,8,1,16.0,8,1,17.8,8,1,17.0,8,1,20.5,8,1
1954/4/25,10.2,8,1,14.0,8,1,16.7,8,1,17.2,8,1,17.3,8,1,17.4,8,1,18.8,8,1
1954/4/26,8.0,8,1,13.0,8,1,16.1,8,1,17.9,8,1,14.1,8,1,16.9,8,1,14.5,8,1
1954/4/27,6.1,8,1,8.7,8,1,10.1,8,1,8.7,8,1,10.9,8,1,10.4,8,1,11.5,8,1
1954/4/28,5.6,8,1,9.3,8,1,12.2,8,1,12.0,8,1,11.6,8,1,12.0,8,1,12.2,8,1
1954/4/29,7.4,8,1,13.3,8,1,14.6,8,1,14.4,8,1,12.4,8,1,14.2,8,1,13.4,8,1
1954/4/30,6.8,8,1,11.5,8,1,15.2,8,1,13.6,8,1,14.4,8,1,14.9,8,1,15.7,8,1
1954/5/1,9.6,8,1,12.1,8,1,16.5,8,1,16.5,8,1,16.7,8,1,18.9,8,1,19.0,8,1
1954/5/2,10.4,8,1,16.7,8,1,21.1,8,1,21.8,8,1,19.5,8,1,20.6,8,1,19.2,8,1
1954/5/3,11.0,8,1,12.3,8,1,15.5,8,1,15.7,8,1,15.2,8,1,15.8,8,1,15.2,8,1
1954/5/4,8.0,8,1,13.3,8,1,15.1,8,1,16.2,8,1,15.5,8,1,15.8,8,1,15.3,8,1
1954/5/5,11.2,8,1,13.2,8,1,14.2,8,1,15.1,8,1,14.6,8,1,14.5,8,1,16.7,8,1
1954/5/6,14.3,8,1,15.3,8,1,13.9,8,1,16.3,8,1,14.0,8,1,15.8,8,1,17.0,8,1
1954/5/7,8.1,8,1,13.7,8,1,15.9,8,1,15.0,8,1,16.9,8,1,17.0,8,1,18.1,8,1
1954/5/8,11.6,8,1,13.6,8,1,18.0,8,1,18.0,8,1,17.9,8,1,18.6,8,1,20.4,8,1
1954/5/9,11.6,8,1,14.5,8,1,15.5,8,1,18.1,8,1,16.6,8,1,17.8,8,1,19.6,8,1
1954/5/10,5.6,8,1,12.8,8,1,15.9,8,1,18.5,8,1,15.6,8,1,16.3,8,1,16.7,8,1
1954/5/11,8.8,8,1,12.0,8,1,17.9,8,1,17.5,8,1,17.2,8,1,19.1,8,1,18.3,8,1
1954/5/12,10.3,8,1,16.6,8,1,19.4,8,1,18.8,8,1,18.2,8,1,19.8,8,1,19.2,8,1
1954/5/13,9.7,8,1,15.1,8,1,19.1,8,1,19.9,8,1,19.2,8,1,20.6,8,1,21.7,8,1
1954/5/14,11.3,8,1,17.2,8,1,18.0,8,1,20.0,8,1,17.5,8,1,18.5,8,1,20.7,8,1
1954/5/15,6.2,8,1,13.2,8,1,15.8,8,1,15.7,8,1,17.3,8,1,16.5,8,1,17.1,8,1
1955/3/10,-1.9,8,1,4.0,8,1,7.5,8,1,8.3,8,1,8.1,8,1,8.2,8,1,8.1,8,1
1955/3/11,-2.5,8,1,3.5,8,1,7.6,8,1,7.8,8,1,9.5,8,1,9.5,8,1,12.5,8,1
1955/3/12,-1.7,8,1,5.7,8,1,7.9,8,1,9.2,8,1,10.2,8,1,11.2,8,1,16.0,8,1
1955/3/13,3.2,8,1,9.6,8,1,8.0,8,1,13.3,8,1,7.3,8,1,9.4,8,1,6.3,8,1
1955/3/14,-4.2,8,1,1.7,8,1,4.9,8,1,7.7,8,1,5.4,8,1,5.7,8,1,6.4,8,1
1955/3/15,-2.2,8,1,2.4,8,1,8.0,8,1,7.3,8,1,7.6,8,1,8.3,8,1,7.3,8,1
1955/3/16,1.4,8,1,5.6,8,1,9.8,8,1,9.1,8,1,10.2,8,1,10.8,8,1,14.6,8,1
1955/3/17,5.0,8,1,9.8,8,1,13.5,8,1,11.7,8,1,15.4,8,1,14.7,8,1,19.8,8,1
1955/3/18,2.2,8,1,9.6,8,1,12.3,8,1,13.9,8,1,11.8,8,1,13.5,8,1,12.7,8,1
1955/3/19,-2.5,8,1,4.0,8,1,7.7,8,1,7.9,8,1,7.6,8,1,8.5,8,1,11.4,8,1
1955/3/20,0.6,8,1,7.4,8,1,9.9,8,1,8.1,8,1,10.2,8,1,11.1,8,1,13.0,8,1
1955/3/21,0.9,8,1,9.6,8,1,11.9,8,1,12.3,8,1,13.5,8,1,12.4,8,1,14.0,8,1
1955/3/22,-0.8,8,1,7.4,8,1,9.7,8,1,10.3,8,1,11.4,8,1,10.1,8,1,12.8,8,1
1955/3/23,-1.9,8,1,4.5,8,1,8.8,8,1,8.1,8,1,9.0,8,1,9.3,8,1,11.0,8,1
1955/3/24,0.2,8,1,2.5,8,1,9.3,8,1,6.5,8,1,9.4,8,1,9.7,8,1,10.2,8,1
1955/3/25,1.5,8,1,4.8,8,1,11.5,8,1,8.2,8,1,9.3,8,1,10.9,8,1,9.3,8,1
1955/3/26,2.0,8,1,6.0,8,1,9.0,8,1,9.7,8,1,9.5,8,1,8.2,8,1,10.0,8,1
1955/3/27,-0.7,8,1,5.0,8,1,10.1,8,1,9.1,8,1,7.6,8,1,9.7,8,1,8.1,8,1
1955/3/28,-0.6,8,1,2.0,8,1,8.7,8,1,6.4,8,1,9.8,8,1,10.9,8,1,11.0,8,1
1955/3/29,2.2,8,1,7.0,8,1,10.4,8,1,12.2,8,1,11.1,8,1,10.2,8,1,11.4,8,1
1955/3/30,-0.4,8,1,5.7,8,1,10.6,8,1,11.6,8,1,9.1,8,1,9.3,8,1,8.9,8,1
